TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum
42	Plant growth form	2371038	625152	233812
38	Plant woodiness	239889	90316	77763
43	Leaf type	157041	72023	61206
17	Leaf compoundness	120022	33990	56667
28	Dispersal syndrome	477217	18582	52887
26	Seed dry mass	317501	27134	43227
22	Photosynthesis pathway	146169	65293	37649
3106	Plant height vegetative	368479	268607	35466
759	Leaflet number per leaf	52973	20137	29865
37	Leaf phenology type	240394	128205	29770
31	Species tolerance to frost	34223	161	27829
59	Plant lifespan (longevity)	72046	19102	25721
218	Species occurrence range: native vs invasive	56576	5449	24962
8	Plant nitrogen(N) fixation capacity	77681	20970	18073
819	Plant resprouting capacity	19963	3649	16605
3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	249181	206176	16599
343	Plant life form (Raunkiaer life form)	117350	63988	16558
29	Pollination syndrome	33745	1457	15879
95	Seed germination rate (germination efficiency)	71098	422	15724
154	Leaf shape	67471	26949	15527
99	Fruit type	27192	290	14462
14	Leaf nitrogen (N) content per leaf dry mass	165142	142471	13621
213	Flower sex	15784	544	13328
16	Leaf distribution along the shoot axis (arrangement type)	31627	2876	12981
4	Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density	96095	44571	12812
144	Leaf length	66551	44685	11500
3113	Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	48331	47915	11097
145	Leaf width	96570	72599	10859
335	Plant reproductive phenology timing (flowering time)	100818	51074	10856
207	Flower color	20434	202	10587
963	Leaf margin type	24252	10498	10101
50	Leaf nitrogen (N) content per leaf area	89709	79443	10067
47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	293469	277713	9688
273	Wood growth ring distinction	29317	10349	9435
278	Wood vessel perforation plates	15033	4676	9341
3114	Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	96078	65197	8770
55	Leaf dry mass (single leaf)	177383	151623	8696
15	Leaf phosphorus (P) content per leaf dry mass	73072	57689	8671
2	Leaf texture (sclerophylly, physical strength, toughness)	53269	45968	8559
21	Stem diameter	215415	199436	8426
3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	105140	93329	8245
169	Stem conduit density (vessels and tracheids)	21077	2190	8211
3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	82364	70925	8120
7	Mycorrhiza type	118390	57195	8028
223	Species genotype: chromosome number	85214	74071	7916
825	Species occurrence range: climate type	51784	42431	7823
46	Leaf thickness	126654	116389	7773
201	Plant nutrition mode (heterotrophy)	14094	1297	7728
13	Leaf carbon (C) content per leaf dry mass	77666	70380	7509
3112	Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	22803	21349	7467
