TraitID	Trait	AccSpecNum	Reason
42	Plant growth form	233812	Syndrome: form/phenology
38	Plant woodiness	77763	Syndrome: form/phenology
43	Leaf type	61206	Leaf geometry/type
22	Photosynthesis pathway	37649	Photosynthesis pathway
37	Leaf phenology type	29770	Syndrome: form/phenology
343	Plant life form (Raunkiaer life form)	16558	Syndrome: form/phenology
154	Leaf shape	15527	Leaf geometry/type
144	Leaf length	11500	Leaf geometry/type
145	Leaf width	10859	Leaf geometry/type
50	Leaf nitrogen (N) content per leaf area	10067	Leaf nitrogen
47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	9688	Leaf economics: LDMC
55	Leaf dry mass (single leaf)	8696	Leaf mass (structure)
15	Leaf phosphorus (P) content per leaf dry mass	8671	Leaf mass (structure)
21	Stem diameter	8426	Architecture/woodiness proxy
7	Mycorrhiza type	8028	Forest affinity proxy
46	Leaf thickness	7773	Leaf thickness
13	Leaf carbon (C) content per leaf dry mass	7509	Leaf mass (structure)
