"Model","AICc","AIC","R2","n_params","delta_AICc","weight"
"stage1_extended_phylo_gam",2148.42120178334,2147.21673676016,0.324066647709844,18.0001331630015,0,0.654686655173993
"traits_stage1_climate_phylo",2151.14047061432,2150.38456510251,0.330354888926056,15,2.71926883098058,0.168093826845682
"stage1_core_phylo_gam",2151.14093988764,2150.3849891794,0.316688893874095,14.0002640050745,2.71973810429972,0.168054390498444
"stage1_full_linear_phylo",2158.34489241198,2155.73395993609,0.351263563335853,32,9.923690628636,0.00458280574118894
"stage1_full_phylo_gam",2158.34510936212,2155.73415541334,0.324232792778657,27.0001113322484,9.92390757878229,0.00458230864796254
"traits_phylo",2183.87642225636,2183.65212319094,0.279924906427993,8,35.4552204730212,1.30927292046207e-08
"stage1_extended_gam",2288.93786199523,2287.8555382765,0.159814426229036,17.0002048728579,140.51666021189,2.01014976653984e-31
"traits_stage1_climate",2293.43623459754,2292.77585723905,0.164068136343525,14,145.015032814199,2.12040693736527e-32
"stage1_core_gam",2293.43673023893,2292.7763012554,0.148345789970725,13.0002798645145,145.015528455591,2.11988152174957e-32
"stage1_full_linear",2298.42706323616,2296.00009694403,0.192808208362383,31,150.00586145282,1.74853587611436e-33
"stage1_full_gam",2298.42736974505,2296.00035595327,0.160520597984529,26.000211105367,150.006167961712,1.74826792575039e-33
"traits_only",2327.74036390951,2327.56618039474,0.099010287280309,7,179.31916212617,7.54001453561109e-40
