species,L_bin_sem,L_bin_blend,L_confidence_sem,L_confidence_blend,T_bin_sem,T_bin_blend,T_confidence_sem,T_confidence_blend,M_bin_sem,M_bin_blend,M_confidence_sem,M_confidence_blend,R_bin_sem,R_bin_blend,R_confidence_sem,R_confidence_blend,N_bin_sem,N_bin_blend,N_confidence_sem,N_confidence_blend
Acer saccharum,med,med,medium,medium,high,high,low,low,high,high,high,high,high,high,low,low,high,high,high,high
Agropyron cristatum,high,high,medium,medium,med,med,medium,medium,med,med,high,high,high,high,very_low,very_low,med,med,high,high
Agrostis hyemalis,high,high,medium,medium,med,med,low,low,high,high,high,high,high,high,very_low,very_low,med,med,medium,medium
Ambrosia tenuifolia,high,high,medium,medium,med,med,medium,medium,med,med,medium,medium,high,high,low,low,high,high,high,high
Betula alleghaniensis,med,med,medium,medium,med,med,medium,medium,high,high,high,high,high,high,low,low,high,high,high,high
Carex digitata,med,med,low,low,med,med,low,low,med,med,high,high,high,high,low,low,high,high,medium,medium
Cryptomeria japonica,med,med,medium,medium,med,med,low,low,high,high,high,high,high,high,very_low,very_low,high,high,high,high
Fraxinus mandshurica,med,med,medium,medium,high,high,low,low,high,high,high,high,high,high,low,low,high,high,high,high
Maackia amurensis,med,med,medium,medium,med,med,medium,medium,med,med,medium,medium,high,high,low,low,high,high,high,high
Melia azedarach,high,high,medium,medium,high,high,medium,medium,med,med,medium,medium,high,high,low,low,high,high,high,high
Picea glauca,med,med,low,low,med,med,low,low,high,high,high,high,high,high,very_low,very_low,high,high,high,high
Picea mariana,high,high,low,low,med,med,medium,medium,high,high,high,high,high,high,very_low,very_low,high,high,medium,medium
