L_class,label,count,median_EIVE,lower,upper
1,deep shade plant (<1% relative illumination),1,1.15843669021863,0.0,1.6053362367357376
2,between deep shade and shade,18,2.0522357832528453,1.6053362367357376,2.4402468081951527
3,shade plant (mostly <5% relative illumination),83,2.82825783313746,2.4402468081951527,3.2035578747634323
4,between shade and semi-shade,198,3.578857916389405,3.2035578747634323,4.228452036818743
5,"semi-shade plant (>10% illumination, seldom full light)",306,4.87804615724808,4.228452036818743,5.447860885923845
6,between semi-shade and semi-sun,588,6.01767561459961,5.447860885923845,6.501011333248853
7,half-light plant (mostly well lit but tolerates shade),1696,6.984347051898094,6.501011333248853,7.467141697802003
8,light-loving plant (rarely <40% illumination),1804,7.94993634370591,7.467141697802003,8.367525428703456
9,full-light plant (requires full sun),695,8.785114513701,8.367525428703456,10.0
