T_class,label,count,median_EIVE,lower,upper
1,very cold climates (high alpine / arctic-boreal),269,0.492362399790439,0.0,0.9128417336973594
2,cold alpine to subalpine zones,842,1.33332106760428,0.9128417336973594,1.807954190575515
3,cool; mainly subalpine and high montane,1155,2.28258731354675,1.807954190575515,2.74471975795031
4,rather cool montane climates,1171,3.20685220235387,2.74471975795031,3.678656059173395
5,moderately cool to moderately warm (montane-submontane),2314,4.15045991599292,3.678656059173395,4.429061683670151
6,submontane / colline; mild montane,2969,4.70766345134738,4.429061683670151,5.0879194708794255
7,"warm; colline, extending to mild northern areas",1947,5.46817549041147,5.0879194708794255,5.938133059417395
8,warm-submediterranean to mediterranean core,1754,6.40809062842332,5.938133059417395,6.840896562709455
9,very warm; southern-central European lowlands,744,7.27370249699559,6.840896562709455,7.738873905603625
10,hot-submediterranean; warm Mediterranean foothills,352,8.20404531421166,7.738873905603625,8.50171065039674
11,hot Mediterranean lowlands,147,8.79937598658182,8.50171065039674,9.211779157798134
12,very hot / subtropical Mediterranean extremes,52,9.624182329014449,9.211779157798134,10.0
